,Valore,Provincia,Latitudine,Longitudine
0,-28.271241830065364,Milan,45.46416,9.19034
1,-20.19251925192519,Bergamo,45.695,9.67
2,-13.434662236987815,Brescia,45.53889,10.22028
3,-16.438596491228072,Como,45.81025,9.08614
4,-21.10083036773429,Cremona,45.13333,10.03333
5,-17.23090277777777,Lecco,45.85,9.4
6,-26.562277580071164,Lodi,45.31667,9.5
7,-21.0153121319199,Mantua,45.15639,10.79111
8,-23.56040268456377,Monza,45.58472,9.27361
9,-24.565972222222204,Pavia,45.18528,9.155
10,-18.507117437722417,Sondrio,46.16972,9.87
11,-24.94348327566321,Varese,45.81667,8.83333
